patent_id,title,assignee,grant_date,label,confidence,rationale,insufficient_info,unparsed,model
US10002371B1," System, method, and computer program product for searching summaries of online &hellip;","Codeq, Llc",2018-06-19,neither,3,"The patent describes a system for researching online reviews to assess the performance and functionality of digital media consumer products, which is a general information retrieval task.",False,,google/gemini-2.5-flash-lite
US10002189B2, Method and apparatus for searching using an active ontology,Apple Inc.,2018-06-19,neither,3,"The patent describes a method and apparatus for searching a database using an active ontology and generating a semantic representation of search strings, which is a general database search function.",False,,google/gemini-2.5-flash-lite
US10001899B2, Graphical user interfaces for supporting collaborative generation of life &hellip;,Google Llc,2018-06-19,neither,3,"The patent describes graphical user interfaces for collaborative generation of life stories and facilitating interaction, with no indication of identifying, tracking, monitoring, profiling, or extracting information about people for a third party.",False,,google/gemini-2.5-flash-lite
US10007660B2, Contextual language understanding for multi-turn language tasks,"Microsoft Technology Licensing, Llc",2018-06-26,neither,3,"The patent describes methods for contextual language understanding to determine user intent in multi-turn language tasks, which is a general natural language processing function.",False,,google/gemini-2.5-flash-lite
US10013470B2, Automatic detection of claims with respect to a topic,International Business Machines Corporation,2018-07-03,neither,2,"The patent describes detecting claims relevant to a topic in content, which is a general text processing task without specific surveillance or military applications.",False,,google/gemini-2.5-flash-lite
US10006148B2, Drug discovery methods,"QIAGEN Redwood City, Inc.",2018-06-26,neither,3,"The patent describes methods for identifying disease-related pathways for drug discovery, identifying new drug uses, and identifying markers for drug response, none of which involve identifying, tracking, monitoring, profiling, or extracting information about people, nor are they explicitly for armed forces or defense operations.",False,,google/gemini-2.5-flash-lite
US10013030B2, Multiple position input device cover,"Microsoft Technology Licensing, Llc",2018-07-03,neither,3,"The patent describes flexible hinge spine techniques for coupling an input device to a computing device, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any military or defense application.",False,,google/gemini-2.5-flash-lite
US10013482B2, Context-dependent evidence detection,International Business Machines Corporation,2018-07-03,neither,2,"The patent describes identifying context-free features that characterize evidence within content resources based on a given context, which is a general information processing task.",False,,google/gemini-2.5-flash-lite
US10007679B2, Enhanced max margin learning on multimodal data mining in a multimedia database,The Research Foundation For The State University Of New York,2018-06-26,neither,2,"The patent describes a system and method for multimodal data mining in a multimedia database, focusing on learning mappings from input to structured and interdependent output variables, which is a general data mining task.",False,,google/gemini-2.5-flash-lite
US10019436B2, Input method and system,"Baidu Online Network Technology (Beijing) Co., Ltd.",2018-07-10,neither,3,"The patent describes an input method for obtaining candidate entries based on English characters and a first language, which is a general language processing task.",False,,google/gemini-2.5-flash-lite
US10019437B2, Facilitating information extraction via semantic abstraction,International Business Machines Corporation,2018-07-10,neither,3,"The patent describes a method for creating a mapping from dependency parse trees into actions, roles, and contextual predicates, which is a general natural language processing task.",False,,google/gemini-2.5-flash-lite
US10019994B2, Systems and methods for recognizing textual identifiers within a plurality of &hellip;,Apple Inc.,2018-07-10,neither,2,"The patent describes recognizing textual identifiers within a plurality of words from voice input, identifying keywords, which is a general language processing task.",False,,google/gemini-2.5-flash-lite
US10019438B2, External word embedding neural network language models,International Business Machines Corporation,2018-07-10,neither,3,"The patent describes a mechanism for external word embedding neural network language models that predict a current word based on a sequence of words, which is a general language processing task.",False,,google/gemini-2.5-flash-lite
US10025774B2, Method and system for extraction and normalization of relationships via &hellip;,The Board Of Trustees Of The Leland Stanford Junior University,2018-07-17,neither,3,"The patent describes methods for developing an ontology of pharmacogenomics relationships starting from a lexicon of entities and a syntactic parse, which is a general natural language processing task for biological data.",False,,google/gemini-2.5-flash-lite
US10021073B2, Systems and methods for delivering messages over a network,Sling Media L.L.C.,2018-07-10,neither,1,"The patent describes systems and methods for delivering messages over a network from service hosts to clients, which is a general network communication function.",False,,google/gemini-2.5-flash-lite
US10025832B2, Ranking search results,"Comcast Interactive Media, Llc",2018-07-17,neither,3,"The patent describes ranking search results based on relevance factors like recency, proximity, and popularity, which is a general search engine function.",False,,google/gemini-2.5-flash-lite
