patent_id,title,assignee,grant_date,label,confidence,rationale,insufficient_info,unparsed,model
US10014555B2,Lithium secondary battery and production method therefor,NEC Corporation,07/03/2018,neither,3,"The patent describes a lithium secondary battery and its production method, focusing on the chemical composition of the electrolytic solution and positive electrode active material.",False,,google/gemini-2.5-flash-lite
US10016541B2,Leak-resistant bandage systems and methods with hydrophilic foam wound insert for fluid-instillation and/or negative-pressure wound therapies,"KCI Licensing, Inc.",07/10/2018,neither,3,"The patent describes wound treatment systems and methods for negative-pressure and/or fluid-installation wound therapies, which does not involve identifying, tracking, monitoring, profiling, or extracting information about people, nor is it explicitly for armed forces, weapons, or defense operations.",False,,google/gemini-2.5-flash-lite
US0745257A,MEASURING DEVICE.,GUS E. TRAGER FRANK M. STEADMAN,11/24/1903,neither,1,"The title and assignee do not provide any information about the patent's function, and the abstract is missing, making it impossible to determine its purpose.",True,,google/gemini-2.5-flash-lite
US10001520B2,System and method for detecting voltage dependence in insulation systems based on harmonic analysis,AVO Multi-Amp Corporation,06/19/2018,neither,3,"The patent describes a method for testing insulation systems by analyzing harmonic content of a test response, with no mention of people or surveillance.",False,,google/gemini-2.5-flash-lite
US10017750B2,Modified polymerases for improved incorporation of nucleotide analogues,Illumina Cambridge Limited,07/10/2018,neither,3,"The patent describes modified polymerase enzymes for improved incorporation of nucleotide analogs in DNA sequencing, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any military or defense applications.",False,,google/gemini-2.5-flash-lite
US10023581B2,Modified cytotoxins and their therapeutic use,"The Regents of the University of California Vybyl Holdings, Inc.",07/17/2018,neither,3,"The patent describes compounds useful for treating cancer, specifically modified cytotoxins, and their therapeutic use, which falls outside the scope of surveillance or military applications.",False,,google/gemini-2.5-flash-lite
US10010506B2,Matrix and layer compositions for protection of bioactives,"Novus International, Inc.",07/03/2018,neither,1,"The patent describes matrix and layer compositions for the delivery of bioactives with pH-dependent release, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10019460B2,Hosted file sync with direct access to hosted files,"Microsoft Technology Licensing, LLC",07/10/2018,neither,3,"The patent describes a system for synchronizing files from a hosted file system with client endpoint devices, focusing on performance and avoiding file locks, with no mention of identifying, tracking, or monitoring people.",False,,google/gemini-2.5-flash-lite
US10032272B2,"Workstation, medical imaging apparatus including the same, and control method for the same","Samsung Electronics Co., Ltd.",07/24/2018,neither,3,"The patent describes a workstation and method for correcting contours of organs in medical images, which is a medical imaging application.",False,,google/gemini-2.5-flash-lite
US10026609B2,Nanoshape patterning techniques that allow high-speed and low-cost fabrication of nanoshape structures,"Board of Regents, The University of Texas System",07/17/2018,neither,3,"The patent describes a method for fabricating nanoscale shapes for general purposes, with no mention of identifying, tracking, monitoring people, or military/defense applications.",False,,google/gemini-2.5-flash-lite
US10032537B2,"Separator material for polymer electrolyte fuel cell having excellent corrosion resistance, conductivity and formability, and method for manufacturing same","Nakayama Amorphous Co., Ltd. USUI Kokusai Sangyo Kaisya, Ltd. Yamanaka Eng. Co, Ltd.",07/24/2018,neither,3,"The patent describes a separator material for a polymer electrolyte fuel cell, focusing on its physical properties and manufacturing method, with no mention of surveillance or military applications.",False,,google/gemini-2.5-flash-lite
US10036389B2,Magnetic coupling unit for submersible well pumps,Baker Hughes Incorporated,07/31/2018,neither,3,"The patent describes a magnetic coupling unit for submersible well pumps, focusing on mechanical and hydrodynamic aspects for pump operation.",False,,google/gemini-2.5-flash-lite
US10035771B2,Mercaptonicotinic acid compound and preparation method and use thereof,"INSTITUTE OF MICROBIOLOGY AND EPIDEMIOLOGY, ACADEMY OF MILITARY MEDICAL SCIENCES, PR CHINA THE SECOND MILITARY MEDICAL UNIVERSITY",07/31/2018,military_defense,3,"The assignee is the ACADEMY OF MILITARY MEDICAL SCIENCES and the patent describes a compound that can be used to prevent and/or treat botulism and tetanus, which are relevant to military and biodefense applications.",False,,google/gemini-2.5-flash-lite
US10044641B2,Data packet processing in SDN,International Business Machines Corporation,08/07/2018,neither,3,The patent describes a method for processing data packets in a software-defined network (SDN) to improve performance by managing rule timeout information in a flow table.,False,,google/gemini-2.5-flash-lite
US10040758B2,Mixed decyl mercaptans compositions and methods of making same,Chevron Phillips Chemical Company LP,08/07/2018,neither,3,"The patent describes compositions and methods for making mixed decyl mercaptans and other mercaptans, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10045189B2,Enhanced wireless home phone for an emergency call service network,"AT&T Intellectual Property I, L.P. AT&T Mobility II LLC",08/07/2018,neither,3,"The patent describes an enhanced wireless home phone for an emergency call service network that sends address information to a public safety answering point device when an emergency call is received and the device's location meets a condition relative to the subscriber's address, which is a service for the subscriber's benefit.",False,,google/gemini-2.5-flash-lite
US10049212B2,Protection against return oriented programming attacks,Intel Corporation,08/14/2018,neither,3,"The patent describes a processor and ROP logic to validate a return pointer based on a secret ROP value, which is a security mechanism for software execution, not related to surveillance or military applications.",False,,google/gemini-2.5-flash-lite
US10056197B2,Electrode-gel electrolyte assembly comprising a porous carbon material and obtained by radical polymerisation,THALES,08/21/2018,neither,1,"The patent describes a process for producing an electrode-gel electrolyte assembly for batteries, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10069010B2,Semiconductor device having compressively strained channel region and method of making same,Renesas Electronics Corporation,09/04/2018,neither,3,"The patent describes a semiconductor device and method for making it, focusing on material properties and manufacturing processes to improve performance, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10069026B2,Reduced band gap absorber for solar cells,The Boeing Company,09/04/2018,neither,3,"The patent describes methods and apparatuses for a dual heterojunction multijunction solar cell, focusing on growing materials for solar cells and their bandgap properties, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10059963B2,Modified microorganisms and methods of making butadiene using same,Braskem S.A.,08/28/2018,neither,3,"The patent describes microorganisms for producing butadiene from a carbon source for industrial processes, with no mention of surveillance or military applications.",False,,google/gemini-2.5-flash-lite
US10058260B2,Apparatus and method for determining the occurrance of a QRS complex in ECG data,KONINKLIJKE PHILIPS N.V.,08/28/2018,neither,3,"The patent describes an apparatus and method for determining the occurrence of a QRS complex in ECG data, which is a medical diagnostic function.",False,,google/gemini-2.5-flash-lite
US10079232B2,FinFET CMOS with silicon fin n-channel FET and silicon germanium fin p-channel FET,International Business Machines Corporation,09/18/2018,neither,1,"The patent describes a FinFET structure for semiconductor devices, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10073083B2,Prophylactic and therapeutic agents for FGFR3 diseases and screening method for the same,KYOTO UNIVERSITY,09/11/2018,neither,3,"The patent describes therapeutic and prophylactic agents for FGFR3 diseases and methods for screening for drugs, which are medical applications and not related to surveillance or military defense.",False,,google/gemini-2.5-flash-lite
US10069844B2,Virtual network function (VNF) hardware trust in a network function virtualization (NFV) software defined network (SDN),Sprint Communications Company L.P.,09/04/2018,neither,3,"The patent describes maintaining hardware trusted communications within a network function virtualization (NFV) software defined network (SDN) for virtual network functions (VNFs), with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10081635B2,"Substituted N-(pyrrolidine-3-yl)-7H-pyrrolo[2,3-D]pyrimidine-4-amine as janus kinase inhibitor","YANG JI CHEMICAL CO., LTD. HAN WHA PHARMA CO., LTD.",09/25/2018,neither,3,"The patent describes a chemical compound as a Janus kinase (JAK) inhibitor, which is a pharmaceutical application, not related to surveillance or military defense.",False,,google/gemini-2.5-flash-lite
US10084705B2,Location identification of prior network message processor,"Microsoft Technology Licensing, LLC",09/25/2018,neither,2,"The patent describes a system for verifying the location where a network message was processed, using a signed proof of location, which is a general network communication function.",False,,google/gemini-2.5-flash-lite
US10085149B2,Authentication of a gateway device in a sensor network,Samsara Networks Inc.,09/25/2018,neither,3,"The patent describes a method for authenticating a gateway device in a sensor network to upload sensor measurements, which is a technical function not related to surveillance or military defense.",False,,google/gemini-2.5-flash-lite
US10085363B2,Integrated compact impingement on extended heat surface,General Electric Company,09/25/2018,neither,3,"The patent describes a thermal management system for cooling electronic devices, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10085678B2,System and method for determining WHO grading of hearing impairment,"iHear Medical, Inc.",10/02/2018,neither,3,"The patent describes a system for grading hearing impairment and determining hearing aid candidacy, which is a medical diagnostic tool for the user's own benefit.",False,,google/gemini-2.5-flash-lite
US10091022B2,Creating a channel for transmitting data of a digital subscriber line,British Telecommunications Public Limited Company,10/02/2018,neither,3,The patent describes a method for creating a data transmission channel on a Digital Subscriber Line (DSL) connection by monitoring tone sets and allocating them based on transmission characteristics and requirements.,False,,google/gemini-2.5-flash-lite
US10088931B2,"Silver nanowires, production methods thereof, conductors and electronic devices including the same","SAMSUNG ELECTRONICS CO., LTD.",10/02/2018,neither,3,"The patent describes the production of silver nanowires for conductive layers in electronic devices, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10092239B2,Biosensor and method for providing a biosensor,"ROCHE DIABETES CARE, INC.",10/09/2018,neither,3,"The patent describes a biosensor for insertion into subcutaneous tissue to measure biological information, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people for third-party analysis, nor any military or defense application.",False,,google/gemini-2.5-flash-lite
US10100003B2,Salts of carnitine derivatives and methods of production,"ThermoLife International, LLC",10/16/2018,neither,3,"The patent describes salts of carnitine derivatives and methods of production, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any military or defense applications.",False,,google/gemini-2.5-flash-lite
US10102126B2,Apparatus and method for implementing a multi-level memory hierarchy having different operating modes,Intel Corporation,10/16/2018,neither,3,"The patent describes a memory hierarchy for computer systems, integrating non-volatile memory with higher performance memory to mask performance limitations, with no mention of identifying, tracking, monitoring, profiling, or extracting information about people, nor any explicit military or defense application.",False,,google/gemini-2.5-flash-lite
US10107742B2,Method and system for monitoring the quality of fluids,Siemens Aktiengesellschaft,10/23/2018,neither,3,"The patent describes a method and system for monitoring the quality of fluids using optical absorption and electron paramagnetic resonance measurements, with no mention of people or surveillance.",False,,google/gemini-2.5-flash-lite
