item,patent_id,title,abstract,label,confidence,rationale,insufficient_info
1,US11144812B2,Mixed machine learning architecture,"A preprocessing module of a neural network has a first input and second input. The module generates multiple, different first latent vector representations of its first input, and multiple, different second latent vector representations of its second input. The module then models pairwise interactions between every unique pairwise combination of the first and second latent vector representations. The module then produces an intermediate output by combining the results of the modeled pairwise interactions.",,,,
2,US10185753B1, Mining procedure dialogs from source content," An embodiment of the invention may include a method, computer program product and computer system for human-machine communication. The method, computer program product and computer system may include a computing device that maps linguistic data of source content to a vector. The computing device &hellip;",,,,
3,US10529337B2,Symbol sequence estimation in speech,"Symbol sequences are estimated using a computer-implemented method including detecting one or more candidates of a target symbol sequence from a speech-to-text data, extracting a related portion of each candidate from the speech-to-text data, detecting repetition of at least a partial sequence of each candidate within the related portion of the corresponding candidate, labeling the detected repetition with a repetition indication, and estimating whether each candidate is the target symbol sequence, using the corresponding related portion including the repetition indication of each of the candidates.",,,,
4,US11636140B2,***WITHDRAWN PATENT AS PER THE LATEST USPTO WITHDRAWN LIST***Resolving entities from multiple data sources for assistant systems,"In one embodiment, a method includes receiving a request to access a first record in a plurality of records, where the first record describes a first set of attributes of a first entity, determining the first record is linked to a globally unique entity identifier, identifying one or more second records linked to the unique entity identifier, where the one or more second records describe one or more second sets of attributes of the first entity, generating a fused record comprising descriptions of attributes of the first entity from the first set and second sets of attributes, where the fused record is generated by deduping the plurality of records to associated the first record and the one or more second record with the unique entity identifier and compiling the first set and one or more second sets of attributes, and sending, in response responsive to the request to access the first record, instructions for presenting the fused record.",,,,
5,US11507828B2,Unsupervised hypernym induction machine learning,"Training a machine learning model such as a neural network, which can automatically extract a hypernym from unstructured data, is disclosed. A preliminary candidate list of hyponym-hypernym pairs can be parsed from the corpus. A preliminary super-term—sub-term glossary can be generated from the corpus, the preliminary super-term—sub-term glossary containing one or more super-term—sub-term pairs. A super-term—sub-term pair can be filtered from the preliminary super-term—sub-term glossary, responsive to detecting that the super-term—sub-term pair is not a candidate for hyponym-hypernym pair, to generate a final super-term—sub-term glossary. The preliminary candidate list of hyponym-hypernym pairs and the final super-term—sub-term glossary can be combined to generate a final list of hyponym-hypernym pairs. An artificial neural network can be trained using the final list of hyponym-hypernym pairs as a training data set, the artificial neural network trained to identify a hypernym given new text data.",,,,
6,US10169454B2, Unsupervised ontology-based graph extraction from texts, A method for extracting a relations graph uses an ontology graph in which nodes represent entity classes or concepts and edges represent properties of the classes. A property is associated with a constraint which defines a range of values that can be taken without incurring a cost. Input text in &hellip;,,,,
7,US10741176B2,Customizing responses to users in automated dialogue systems,"Mechanisms are provided for customizing responses to future questions based on identified anomalies in user profile information. An automated dialogue system monitors information associated with a plurality of entities, where the information includes quantities for variable values associated with the entities. The automated dialogue system, in response to determining that a quantity of a variable value associated with an entity in the plurality of entities has changed by an amount equal to or exceeding a corresponding threshold value, generates response information associated with a quantity of the variable value and an entity to respond to at least one future question. In addition, the automated dialogue system stores the responsive information in association with the entity for later retrieval in response to initiation of a dialogue session with the automated dialogue system. Time thresholds may be established for determining when to stop using the responsive information for responding to questions.",,,,
8,US11080300B2,Using relation suggestions to build a relational database,"Aspects of the invention include a system, a computer program product and a computer-implemented method for building a relational database between a first term and a second term. An embedding management system is used to determine a first term set based on the first term and a second term set based on the second term. An entity linking engine and a knowledge base engine are used to determine a relation match for the first term set when a relation of the first term set relates to a term from a second term set and for determining a relation match for the second term set when a relation of the second term set relates to a term from a first term set. A relation ranking engine selects a relation for the relational database having a selected number of matches.",,,,
9,US11170789B2,Attentive adversarial domain-invariant training,"To generate substantially domain-invariant and speaker-discriminative features, embodiments are associated with a feature extractor to receive speech frames and extract features from the speech frames based on a first set of parameters of the feature extractor, a senone classifier to identify a senone based on the received features and on a second set of parameters of the senone classifier, an attention network capable of determining a relative importance of features extracted by the feature extractor to domain classification, based on a third set of parameters of the attention network, a domain classifier capable of classifying a domain based on the features and the relative importances, and on a fourth set of parameters of the domain classifier; and a training platform to train the first set of parameters of the feature extractor and the second set of parameters of the senone classifier to minimize the senone classification loss, train the first set of parameters of the feature extractor to maximize the domain classification loss, and train the third set of parameters of the attention network and the fourth set of parameters of the domain classifier to minimize the domain classification loss.",,,,
10,US10503765B2,Visual interactive search,"Roughly described, a system for user identification of a desired document. A database is provided which identifies a catalog of documents in an embedding space, the database identifying a distance in the embedding space between each pair of documents corresponding to a predetermined measure of dissimilarity between the pair of documents. The system presents an initial collection of the documents toward the user, from an initial candidate space which is part of the embedding space. The system then iteratively refines the candidate space using geometric constraints on the embedding space determined in response to relative feedback by the user. At each iteration the system identifies to the user a subset of documents from the then-current candidate space, based on which the user provides the relative feedback. In an embodiment, these subsets of documents are more discriminative than the average discriminativeness of similar sets of documents in the then-current candidate space.",,,,
